time,open,high,low,close,tick_volume,spread,real_volume,ticker
2017-07-31,65518.0,66048.0,65518.0,65920.0,509890,0,5054907486,IBOV
2017-08-01,65955.0,66606.0,65955.0,66516.0,643906,0,5648385885,IBOV
2017-08-02,66504.0,67277.0,66305.0,67136.0,723561,0,7571898774,IBOV
2017-08-03,67136.0,67256.0,66705.0,66777.0,643727,0,5491812872,IBOV
2017-08-04,66802.0,67104.0,66525.0,66898.0,528732,0,4744754877,IBOV
2017-08-07,66898.0,68043.0,66887.0,67940.0,659065,0,5943598519,IBOV
2017-08-08,67922.0,68500.0,67671.0,67899.0,653667,0,6352057617,IBOV
2017-08-09,67894.0,67894.0,67290.0,67671.0,531000,0,4848108874,IBOV
2017-08-10,67671.0,67671.0,66650.0,66992.0,540236,0,5778823509,IBOV
2017-08-11,66992.0,67623.0,66678.0,67359.0,657608,0,5701197075,IBOV
2017-08-14,67369.0,68642.0,67226.0,68285.0,68745839,0,634098843360,IBOV
2017-08-15,68293.0,68846.0,68293.0,68355.0,638156,0,5519070669,IBOV
2017-08-16,68356.0,68950.0,68304.0,68594.0,710199,0,8067353701,IBOV
2017-08-17,68596.0,68596.0,67866.0,67977.0,536139,0,5305498957,IBOV
2017-08-18,68016.0,68808.0,67979.0,68715.0,654838,0,6783046727,IBOV
2017-08-21,68733.0,69068.0,68514.0,68635.0,552103,0,5190087385,IBOV
2017-08-22,68688.0,70278.0,68681.0,70011.0,785697,0,7884317868,IBOV
2017-08-23,70011.0,70587.0,69947.0,70478.0,1863754,0,18447844371,IBOV
2017-08-24,70490.0,71238.0,70490.0,71133.0,642000,0,6282269209,IBOV
2017-08-25,71138.0,71506.0,70801.0,71074.0,537387,0,4721179943,IBOV
2017-08-28,71074.0,71390.0,70909.0,71017.0,435357,0,4466282648,IBOV
2017-08-29,70962.0,71330.0,70517.0,71330.0,504657,0,4666228882,IBOV
2017-08-30,71322.0,71454.0,70755.0,70886.0,555399,0,5127672880,IBOV
2017-08-31,70898.0,71234.0,70516.0,70835.0,679770,0,8834823181,IBOV
2017-09-01,70848.0,72217.0,70846.0,71923.0,715506,0,7507967148,IBOV
2017-09-04,71921.0,72141.0,71671.0,72129.0,438755,0,3836222651,IBOV
2017-09-05,72134.0,73180.0,71827.0,72151.0,921016,0,8255091891,IBOV
2017-09-06,72157.0,73608.0,72157.0,73412.0,973823,0,8635630680,IBOV
